LOT-ID,Rxn_ID,SMILES,exp_name,type,targets,catalyst,base,solvent,temperature
XLS001AI-AC3422-AMI452-20251028D2,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_BrettPhos Pd G4, 3.0_DBU, 1ml_Dioxane, 80C_10h",Buchwald,0,CNc1ccccc1-c1ccccc1[Pd]OS(C)(=O)=O.COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,C1CCC2=NCCCN2CC1,C1COCCO1,80
XLS001AI-AC3422-AMI452-20251028PC,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_BrettPhos Pd G4, 3.0_K3PO4, 1ml_Dioxane, 80C_10h",Buchwald,0,CNc1ccccc1-c1ccccc1[Pd]OS(C)(=O)=O.COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,O=P([O-])([O-])[O-].[K+].[K+].[K+],C1COCCO1,80
XLS001AI-AC3422-AMI452-20251028L9,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_BrettPhos Pd G4, 3.0_LiHMDS, 1ml_Dioxane, 80C_10h",Buchwald,0,CNc1ccccc1-c1ccccc1[Pd]OS(C)(=O)=O.COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,[Li]N([Si](C)(C)C)[Si](C)(C)C,C1COCCO1,80
XLS001AI-AC3422-AMI452-20250926P8,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_DavePhos Pd G4, 3.0_Cs2CO3, 1ml_Dioxane, 80C_10h",Buchwald,0,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1.CNc1ccccc1-c1ccccc1[Pd+].CS(=O)(=O)[O-],O=C([O-])[O-].[Cs+].[Cs+],C1COCCO1,80
XLS001AI-AC3422-AMI452-20251021P9,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_DavePhos Pd G4, 3.0_K3PO4, 1ml_Dioxane, 80C_10h",Buchwald,0,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1.CNc1ccccc1-c1ccccc1[Pd+].CS(=O)(=O)[O-],O=P([O-])([O-])[O-].[K+].[K+].[K+],C1COCCO1,80
XLS001AI-AC3422-AMI452-20250926L4,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_DavePhos Pd G4, 3.0_LiHMDS, 1ml_Dioxane, 80C_10h",Buchwald,0,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1.CNc1ccccc1-c1ccccc1[Pd+].CS(=O)(=O)[O-],[Li]N([Si](C)(C)C)[Si](C)(C)C,C1COCCO1,80
XLS001AI-AC3422-AMI452-20251021PA,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_DavePhos Pd G4, 3.0_NaOTMS, 1ml_Dioxane, 80C_10h",Buchwald,0,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1.CNc1ccccc1-c1ccccc1[Pd+].CS(=O)(=O)[O-],C[Si](C)(C)[O-].[Na+],C1COCCO1,80
XLS001AI-AC3422-AMI452-20251028PE,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_EPhos Pd G4, 3.0_Cs2CO3, 1ml_Dioxane, 80C_10h",Buchwald,0,CC(C)Oc1cccc(-c2c(C(C)C)cc(C(C)C)cc2C(C)C)c1P(C1CCCCC1)C1CCCCC1.CNc1ccccc1-c1ccccc1[Pd+].CS(=O)(=O)[O-],O=C([O-])[O-].[Cs+].[Cs+],C1COCCO1,80
XLS001AI-AC3422-AMI452-20251028PF,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_EPhos Pd G4, 3.0_K3PO4, 1ml_Dioxane, 80C_10h",Buchwald,0,CC(C)Oc1cccc(-c2c(C(C)C)cc(C(C)C)cc2C(C)C)c1P(C1CCCCC1)C1CCCCC1.CNc1ccccc1-c1ccccc1[Pd+].CS(=O)(=O)[O-],O=P([O-])([O-])[O-].[K+].[K+].[K+],C1COCCO1,80
XLS001AI-AC3422-AMI452-20251028LB,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_EPhos Pd G4, 3.0_LiHMDS, 1ml_Dioxane, 80C_10h",Buchwald,0,CC(C)Oc1cccc(-c2c(C(C)C)cc(C(C)C)cc2C(C)C)c1P(C1CCCCC1)C1CCCCC1.CNc1ccccc1-c1ccccc1[Pd+].CS(=O)(=O)[O-],[Li]N([Si](C)(C)C)[Si](C)(C)C,C1COCCO1,80
