LOT-ID,Rxn_ID,SMILES,exp_name,type,targets,catalyst,base,solvent,temperature
XLS001AI-AB2710-AMI090-20250923P1,AB2710_AMI090,Br[c:4]1[cH:3][c:2]([CH3:1])[s:6][cH:5]1.[N:7]#[C:8][c:9]1[cH:10][cH:11][cH:12][cH:13][c:14]1[NH2:15]>>[CH3:1][c:2]1[cH:3][c:4]([NH:15][c:14]2[c:9]([C:8]#[N:7])[cH:10][cH:11][cH:12][cH:13]2)[cH:5][s:6]1,"0.1_AlPhos Pd G6 Br, 3.0_Cs2CO3, 1ml_Dioxane, 80C_10h",Buchwald,0,CCCCc1c(F)c(F)c(-c2c(C(C)C)cc(C(C)C)c(-c3cccc(OC)c3P([C@]34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)[C@]34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)c2C(C)C)c(F)c1F.FC(F)(F)c1ccc([Pd]Br)cc1,O=C([O-])[O-].[Cs+].[Cs+],C1COCCO1,80
XLS001AI-AB2710-AMI090-20250923L3,AB2710_AMI090,Br[c:4]1[cH:3][c:2]([CH3:1])[s:6][cH:5]1.[N:7]#[C:8][c:9]1[cH:10][cH:11][cH:12][cH:13][c:14]1[NH2:15]>>[CH3:1][c:2]1[cH:3][c:4]([NH:15][c:14]2[c:9]([C:8]#[N:7])[cH:10][cH:11][cH:12][cH:13]2)[cH:5][s:6]1,"0.1_AlPhos Pd G6 Br, 3.0_LiHMDS, 1ml_Dioxane, 80C_10h",Buchwald,0,CCCCc1c(F)c(F)c(-c2c(C(C)C)cc(C(C)C)c(-c3cccc(OC)c3P([C@]34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)[C@]34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)c2C(C)C)c(F)c1F.FC(F)(F)c1ccc([Pd]Br)cc1,[Li]N([Si](C)(C)C)[Si](C)(C)C,C1COCCO1,80
XLS001AI-AB2710-AMI090-20250923L6,AB2710_AMI090,Br[c:4]1[cH:3][c:2]([CH3:1])[s:6][cH:5]1.[N:7]#[C:8][c:9]1[cH:10][cH:11][cH:12][cH:13][c:14]1[NH2:15]>>[CH3:1][c:2]1[cH:3][c:4]([NH:15][c:14]2[c:9]([C:8]#[N:7])[cH:10][cH:11][cH:12][cH:13]2)[cH:5][s:6]1,"0.1_GPhos Pd G6 TES, 1.1_LiHMDS, 1ml_Dioxane, 80C_10h",Buchwald,1,COc1ccc(OC(C)(C)C)c([PH](C2CCCCC2)(C2CCCCC2)[Pd](Br)c2ccc(C(=O)OCC[Si](C)(C)C)cc2)c1-c1c(C(C)C)cccc1C(C)C,[Li]N([Si](C)(C)C)[Si](C)(C)C,C1COCCO1,80
XLS001AI-AB2710-AMI090-20250923P5,AB2710_AMI090,Br[c:4]1[cH:3][c:2]([CH3:1])[s:6][cH:5]1.[N:7]#[C:8][c:9]1[cH:10][cH:11][cH:12][cH:13][c:14]1[NH2:15]>>[CH3:1][c:2]1[cH:3][c:4]([NH:15][c:14]2[c:9]([C:8]#[N:7])[cH:10][cH:11][cH:12][cH:13]2)[cH:5][s:6]1,"0.1_GPhos Pd G6 TES, 1.1_NaOTMS, 1ml_Dioxane, 80C_10h",Buchwald,1,COc1ccc(OC(C)(C)C)c([PH](C2CCCCC2)(C2CCCCC2)[Pd](Br)c2ccc(C(=O)OCC[Si](C)(C)C)cc2)c1-c1c(C(C)C)cccc1C(C)C,C[Si](C)(C)[O-].[Na+],C1COCCO1,80
XLS001AI-AB2710-AMI090-20250923L5,AB2710_AMI090,Br[c:4]1[cH:3][c:2]([CH3:1])[s:6][cH:5]1.[N:7]#[C:8][c:9]1[cH:10][cH:11][cH:12][cH:13][c:14]1[NH2:15]>>[CH3:1][c:2]1[cH:3][c:4]([NH:15][c:14]2[c:9]([C:8]#[N:7])[cH:10][cH:11][cH:12][cH:13]2)[cH:5][s:6]1,"0.1_GPhos Pd G6 TES, 3.0_LiHMDS, 1ml_Dioxane, 80C_10h",Buchwald,1,COc1ccc(OC(C)(C)C)c([PH](C2CCCCC2)(C2CCCCC2)[Pd](Br)c2ccc(C(=O)OCC[Si](C)(C)C)cc2)c1-c1c(C(C)C)cccc1C(C)C,[Li]N([Si](C)(C)C)[Si](C)(C)C,C1COCCO1,80
XLS001AI-AB2710-AMI090-20250923F1,AB2710_AMI090,Br[c:4]1[cH:3][c:2]([CH3:1])[s:6][cH:5]1.[N:7]#[C:8][c:9]1[cH:10][cH:11][cH:12][cH:13][c:14]1[NH2:15]>>[CH3:1][c:2]1[cH:3][c:4]([NH:15][c:14]2[c:9]([C:8]#[N:7])[cH:10][cH:11][cH:12][cH:13]2)[cH:5][s:6]1,"0.1_GPhos Pd G6 TES, 3.0_LiHMDS, 1ml_THF, 50C_10h",Buchwald,1,COc1ccc(OC(C)(C)C)c([PH](C2CCCCC2)(C2CCCCC2)[Pd](Br)c2ccc(C(=O)OCC[Si](C)(C)C)cc2)c1-c1c(C(C)C)cccc1C(C)C,[Li]N([Si](C)(C)C)[Si](C)(C)C,C1CCOC1,50
XLS001AI-AB2710-AMI090-20250923P4,AB2710_AMI090,Br[c:4]1[cH:3][c:2]([CH3:1])[s:6][cH:5]1.[N:7]#[C:8][c:9]1[cH:10][cH:11][cH:12][cH:13][c:14]1[NH2:15]>>[CH3:1][c:2]1[cH:3][c:4]([NH:15][c:14]2[c:9]([C:8]#[N:7])[cH:10][cH:11][cH:12][cH:13]2)[cH:5][s:6]1,"0.1_GPhos Pd G6 TES, 3.0_NaOTMS, 1ml_Dioxane, 80C_10h",Buchwald,0,COc1ccc(OC(C)(C)C)c([PH](C2CCCCC2)(C2CCCCC2)[Pd](Br)c2ccc(C(=O)OCC[Si](C)(C)C)cc2)c1-c1c(C(C)C)cccc1C(C)C,C[Si](C)(C)[O-].[Na+],C1COCCO1,80
XLS001AI-AB2710-AMI090-20250923F2,AB2710_AMI090,Br[c:4]1[cH:3][c:2]([CH3:1])[s:6][cH:5]1.[N:7]#[C:8][c:9]1[cH:10][cH:11][cH:12][cH:13][c:14]1[NH2:15]>>[CH3:1][c:2]1[cH:3][c:4]([NH:15][c:14]2[c:9]([C:8]#[N:7])[cH:10][cH:11][cH:12][cH:13]2)[cH:5][s:6]1,"0.1_GPhos Pd G6 TES, 3.0_NaOTMS, 1ml_THF, 50C_10h",Buchwald,1,COc1ccc(OC(C)(C)C)c([PH](C2CCCCC2)(C2CCCCC2)[Pd](Br)c2ccc(C(=O)OCC[Si](C)(C)C)cc2)c1-c1c(C(C)C)cccc1C(C)C,C[Si](C)(C)[O-].[Na+],C1CCOC1,50
XLS001AI-AB2710-AMI090-20251011D2,AB2710_AMI090,Br[c:4]1[cH:3][c:2]([CH3:1])[s:6][cH:5]1.[N:7]#[C:8][c:9]1[cH:10][cH:11][cH:12][cH:13][c:14]1[NH2:15]>>[CH3:1][c:2]1[cH:3][c:4]([NH:15][c:14]2[c:9]([C:8]#[N:7])[cH:10][cH:11][cH:12][cH:13]2)[cH:5][s:6]1,"0.2_BrettPhos Pd G4, 3.0_DBU, 1ml_Dioxane, 80C_10h",Buchwald,0,CNc1ccccc1-c1ccccc1[Pd]OS(C)(=O)=O.COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,C1CCC2=NCCCN2CC1,C1COCCO1,80
XLS001AI-AB2710-AMI090-20251011PC,AB2710_AMI090,Br[c:4]1[cH:3][c:2]([CH3:1])[s:6][cH:5]1.[N:7]#[C:8][c:9]1[cH:10][cH:11][cH:12][cH:13][c:14]1[NH2:15]>>[CH3:1][c:2]1[cH:3][c:4]([NH:15][c:14]2[c:9]([C:8]#[N:7])[cH:10][cH:11][cH:12][cH:13]2)[cH:5][s:6]1,"0.2_BrettPhos Pd G4, 3.0_K3PO4, 1ml_Dioxane, 80C_10h",Buchwald,1,CNc1ccccc1-c1ccccc1[Pd]OS(C)(=O)=O.COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,O=P([O-])([O-])[O-].[K+].[K+].[K+],C1COCCO1,80
